plan_id,plan_start,plan_end,severity_level,comments,staff_id,dept_id,VIN
PLAN001,2023-01-10 09:15:00,2023-02-12 14:30:00,B,Quarterly maintenance check,S001,D001,1HGCM82633A004521
PLAN002,2023-03-05 11:00:00,2023-04-20 10:00:00,D,Engine diagnostics required,S004,D004,2T3WFREV5FW123678
PLAN003,2022-11-02 08:45:00,2022-12-15 16:00:00,A,General inspection completed,S003,D002,3FA6P0H74DR298441
PLAN004,2023-06-18 10:20:00,2023-07-25 15:50:00,B,Follow-up on brake wear,S006,D006,1N4AL3AP9JC204889
PLAN005,2024-01-08 09:10:00,2024-02-19 13:40:00,D,Major engine overhaul,S008,D008,5TDZZ3DC8KS987654
PLAN006,2022-09-15 14:00:00,2022-10-28 09:30:00,A,Scheduled tire rotation,S002,D003,1G1BE5SM2J7123456
PLAN007,2023-08-04 08:30:00,2023-09-10 11:15:00,B,Cooling system flush,S005,D005,2HGFB2F50FH345678
PLAN008,2023-04-27 13:40:00,2023-05-22 10:25:00,D,Body repair and repaint,S008,D008,3GNAXJEV7JL298765
PLAN009,2022-12-11 10:50:00,2023-01-14 12:00:00,A,Battery replacement and testing,S009,D009,1FADP3F23HL201234
PLAN010,2023-02-19 15:20:00,2023-03-30 09:45:00,C,Electrical diagnostics,S010,D010,1GNSKBKC0JR234567
