part_id,part_name,part_desc,part_category,part_cost_retail,part_cost_wholesale
P001,Brake Pad Set,Front ceramic brake pads,Brakes,89.99,54.5
P002,Engine Air Filter,High-efficiency intake air filter,Engine,24.99,12.75
P003,Spark Plug,Standard iridium spark plug,Ignition,12.49,6.2
P004,Oil Filter,Premium synthetic oil filter,Engine,14.99,7.1
P005,Alternator,150-amp high-output alternator,Electrical,329.99,210.0
P006,Battery,12V maintenance-free car battery,Electrical,129.99,89.5
P007,Headlight Bulb,LED replacement headlight bulb,Lighting,34.99,19.8
P008,Fuel Pump,High-pressure electric fuel pump,Fuel System,259.99,175.4
P009,Shock Absorber,Rear gas-charged shock absorber,Suspension,79.99,48.25
P010,Radiator Hose,Upper radiator coolant hose,Cooling,22.99,11.9
